EC	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
Alcohol dehydrogenase (NADP(+)) (1.1.1.2)	5.80739e-05	7.50191e-05	0.000122698	5.58775e-05	0.000151805	1.35378e-05	7.41217e-05	4.175e-05	0.000100473	0.000183551	0.000616859	0.000112087	0.00130366	0.000350709	3.35153e-05	3.31386e-05	0.00116223	0.00206648	0.00221485	0	4.21913e-05	4.245e-05	0.00217663	7.86509e-06	7.50108e-05	9.73849e-05	2.50614e-05	0.000234386	2.95985e-05	0.00181467	0	0.000578833	0	0	5.54966e-05	7.82754e-05	0.000226365	9.56375e-05
1,3-propanediol dehydrogenase (1.1.1.202)	8.4123e-05	0.000289617	1.20216e-05	0.000140382	4.5849e-05	0	0.000159667	3.76338e-05	0.000180982	0.000143334	8.18882e-05	4.92568e-05	4.94845e-05	0	2.77378e-05	2.34656e-05	7.35275e-05	2.2761e-05	0	0	0	2.34643e-05	2.10461e-05	0.00014951	5.24982e-05	0.000151823	0	0.000110449	8.65114e-05	0	0	5.03102e-05	4.4954e-05	2.49116e-05	0.000124154	0.000102335	7.60461e-05	0.000145456
IMP dehydrogenase (1.1.1.205)	0.00145025	0.00208861	0.00129285	0.00177495	0.00133309	0.0017495	0.0020228	0.00201617	0.0017557	0.00192458	0.00152395	0.00168778	0.00309843	0.00287249	0.00160853	0.00171114	0.00280994	0.00351871	0.00376599	0.00215633	0.00158942	0.0018005	0.00370412	0.00190495	0.00196136	0.00174243	0.00191933	0.00162796	0.00193666	0.00314293	0.00160542	0.0021419	0.00161229	0.00182984	0.00241373	0.00183328	0.00184632	0.00218299
Aldose reductase (1.1.1.21)	7.91768e-05	6.03037e-05	0	7.48543e-05	0.000308938	0.000140905	1.26009e-05	0	1.35619e-05	3.46631e-05	6.45031e-06	0.000178406	0	0	0	4.02598e-05	4.22094e-05	0	0	0	7.76333e-05	0.000113406	0	1.8866e-05	0.000110618	2.70662e-05	1.87672e-05	0	0	0	0.000621388	0	0.000120791	0	2.60488e-05	3.62069e-05	2.90211e-05	0
UDP-glucose 6-dehydrogenase (1.1.1.22)	0.0025526	0.00186061	0.00225133	0.00266977	0.00217362	0.00345839	0.00206547	0.00312886	0.0022606	0.00229459	0.00142634	0.00357342	0.00302042	0.00344239	0.00327595	0.00343983	0.00337735	0.00302434	0.00346646	0.00177368	0.00337835	0.00329676	0.00591317	0.0021666	0.00390109	0.00300282	0.00518827	0.00302009	0.0022946	0.00369732	0.00401607	0.00212147	0.00276625	0.0037584	0.00239904	0.00346158	0.00203371	0.00238767
Histidinol dehydrogenase (1.1.1.23)	0.00122634	0.00152122	0.00119919	0.00139007	0.00110454	0.00144374	0.00163274	0.00140252	0.00150303	0.00113461	0.00114951	0.0012656	0.00258026	0.00252941	0.00120164	0.00108924	0.00192844	0.00286378	0.00218228	0.0013906	0.00135939	0.00150659	0.00279218	0.00138622	0.00141153	0.00148855	0.00198207	0.00136829	0.00151034	0.00259197	0.00123896	0.00164383	0.00138454	0.00135034	0.00146266	0.00152352	0.00120415	0.00180194
Methanol dehydrogenase (1.1.1.244)	0	0.000183633	0	0	0	0	0	0	0	0.000156944	0.000126478	0	0	0	3.3563e-05	0.000103644	0	0	0	0	0	5.01149e-05	0	0	1.38026e-05	0	0	6.11673e-05	0	0	0	0	0	0	0	0	0	0
Shikimate dehydrogenase (1.1.1.25)	0.00137482	0.00180167	0.00151237	0.00149055	0.00124668	0.00144808	0.0019366	0.00154339	0.00199197	0.00203973	0.00112883	0.00164547	0.00108418	0.00113723	0.00178897	0.00181966	0.00150265	0.00103213	0.000975671	0.00140146	0.00149795	0.00166507	0.0011822	0.00170499	0.00142172	0.00178974	0.000954926	0.00144432	0.00155439	0.00118795	0.00156559	0.00156547	0.00164246	0.0014597	0.00137641	0.00170779	0.00150483	0.0018888
Galactitol-1-phosphate 5-dehydrogenase (1.1.1.251)	0.00013421	5.19512e-05	0.000102623	0	0.00014528	0	1.76936e-05	0	0	2.58248e-05	0.000469945	0	1.11684e-05	0	6.11711e-05	7.7004e-05	0	0	0	0	0	0	0	0	1.54735e-05	5.03457e-06	0	1.52145e-05	2.37183e-05	0	0	7.58812e-05	0	0	1.02884e-05	0	1.74521e-05	0
sn-glycerol-1-phosphate dehydrogenase (1.1.1.261)	1.65164e-05	0.000156209	4.11109e-05	0.000264469	0	0.000130884	2.7607e-05	1.60663e-05	8.07659e-05	0.00027448	1.42976e-05	0	0	0	4.58373e-05	0.000190682	5.55789e-05	0	0	0	0.000133926	0.000111461	1.35392e-05	3.76178e-05	4.33146e-05	8.97696e-05	2.9341e-05	0	0.000109852	2.48854e-05	0.000640098	5.27312e-05	3.60127e-05	0	0.000114276	5.88521e-05	7.26211e-05	0.000117779
4-hydroxythreonine-4-phosphate dehydrogenase (1.1.1.262)	0.000937132	0.000315962	0.000301261	0.000901675	0.000963864	0.00126375	0.000519885	0.000613339	0.000318528	0.000343463	0.000389917	0.00120776	0.000194028	0.000185913	0.00177094	0.00117769	0.000477593	0.000253498	0.000151377	0.00018322	0.000829541	0.00050279	1.25948e-05	0.000542302	0.000386019	0.00070221	0.000635683	0.00080782	0.000640665	0.000298304	0.00140592	0.000397637	0.00069825	0.000713605	0.000489525	0.000820692	0.000555954	0.000147889
dTDP-4-dehydro-6-deoxyglucose reductase (1.1.1.266)	7.97961e-05	8.01173e-06	9.53433e-05	0	3.50053e-05	1.05141e-05	6.68506e-05	0.000205779	0.000131207	0	0	0.00016542	0	9.82767e-06	0	0	0	0	0	2.2165e-05	3.00085e-05	0.000120051	1.22132e-05	0	0	0	0	9.82148e-06	0	0	1.27343e-05	8.78686e-05	2.83083e-05	7.12888e-05	0	0	0	0
1-deoxy-D-xylulose-5-phosphate reductoisomerase (1.1.1.267)	0.00138937	0.00170466	0.00151464	0.00139569	0.00132677	0.00161373	0.00160316	0.00158922	0.00184345	0.00157579	0.00168409	0.00133387	0.00311875	0.00342063	0.00144223	0.00136892	0.00279106	0.00343604	0.00363648	0.00305675	0.00150794	0.00169548	0.00365978	0.00161077	0.00166291	0.00156749	0.00187053	0.00145633	0.00173106	0.00364767	0.00130273	0.00193747	0.00146524	0.00159734	0.00193907	0.00168833	0.00153572	0.00176467
L-lactate dehydrogenase (1.1.1.27)	0.000257328	0.00149216	0.000135563	0.00051724	4.88098e-05	2.35721e-05	0.00136994	0.000269337	0.00151125	0.00113182	0.000588318	0.000148839	0.0001733	7.20988e-05	0.000181502	0.000172673	0.00053769	0.000209563	0.000129123	0.000315837	8.45733e-05	0.000349449	0.000137751	0.000530064	0.000134653	0.000797375	0.000151963	0.000169245	0.000535405	0.00015813	4.01517e-05	0.000243177	0.000275942	0.000124249	0.00103747	0.00057673	0.00124697	0.00133219
GDP-L-fucose synthase (1.1.1.271)	0.00163823	0.00074996	0.00234562	0.00148771	0.00145468	0.00173668	0.00133864	0.0017951	0.00165052	0.000696268	0.000734909	0.00152389	0.000386584	0.00078852	0.00113366	0.00160615	0.000976038	0.000289915	0.000330951	0.00072195	0.00234344	0.00182301	5.02416e-05	0.00173871	0.00277385	0.00144015	0.0026142	0.00129011	0.00138453	0.000747187	0.00161317	0.00148071	0.00202157	0.00246938	0.00102507	0.00102557	0.00063614	0.00191052
2,5-didehydrogluconate reductase (2-dehydro-D-gluconate-forming) (1.1.1.274)	0.000359987	0.000393571	0.0003357	0.000441452	0.000363192	0.000319597	0.000221684	1.71734e-05	0.000146154	0.000372903	0.00122061	0	0.000100961	0	0.000148194	0.000433703	0.000185659	1.83693e-05	1.97364e-05	1.40458e-05	0	2.80611e-05	0	1.28814e-05	3.12249e-05	0.000108076	1.39379e-05	0.00035086	3.93615e-05	0	2.65965e-05	0.000176256	0.000466087	0.000525254	0.000104537	4.5088e-05	0.000873414	5.0544e-05
Serine 3-dehydrogenase (NADP(+)) (1.1.1.276)	0	0.000120287	0	7.27468e-05	1.39629e-05	0	6.55429e-05	0	2.73814e-05	7.82842e-05	0.000379033	0	0.00165558	0.00159461	0	0	0.00123755	0.00196624	0.00206114	1.44335e-05	0	4.39409e-05	0.00151771	9.47925e-05	0	0.000230923	0	2.38437e-05	0.00014752	0.00171764	0	0.000570622	4.31864e-05	4.80978e-05	0.000115064	4.11007e-05	0.000233057	0.00019321
D-lactate dehydrogenase (1.1.1.28)	0.000688698	0.000260664	0.00107851	0.000534845	0.00149491	0.000816355	0.000534626	0.00055877	0.000205326	0.000805998	0.00106922	0.000632277	0.00016152	0.000220409	0.00106232	0.000441012	0.000386194	1.84014e-05	6.81372e-05	0.000151799	0.000889684	0.000872951	2.51659e-05	0.00080374	0.00042829	0.000599884	0.00023351	0.000497644	0.000734388	8.23462e-05	0.000879296	0.000724573	0.000770277	0.000517379	0.000367724	0.000835098	0.000735203	0.0001324
GDP-4-dehydro-6-deoxy-D-mannose reductase (1.1.1.281)	0	2.72718e-05	0	0.000170712	0	0	0	0	0	0	0	0.000231321	0	0	0	0.000294561	0	0	0	0	0	0	0	5.76056e-05	0	1.59904e-05	0	5.55812e-05	0	0	0.000109118	7.21112e-05	0	0.000325139	0	0	0	0
Quinate/shikimate dehydrogenase (1.1.1.282)	0.000109027	5.0146e-05	0.000161317	2.13414e-05	9.02848e-05	0	2.07872e-05	0	0	5.78303e-05	0.000349285	0	0	0	4.94936e-05	5.07841e-05	0	0	0	0	0	0	0	0	0	1.84012e-05	0	9.78572e-05	0	0	0	3.40864e-05	0	0	0	0	0.000306053	0
S-(hydroxymethyl)glutathione dehydrogenase (1.1.1.284)	9.55321e-05	8.71244e-05	0.000113654	0.000126722	0.000107075	0	0	0	0	0.000172647	0.000559914	0	0	0	5.44814e-05	0.000155867	0	0	1.06396e-05	2.6443e-05	0	0	0	0	0	2.76351e-05	0	8.06262e-05	0	0	0	0.000116015	0	0	0	0	0.000347548	0
Glycerate dehydrogenase (1.1.1.29)	0.000247495	0.000149202	0	0.00020213	0	0.000281867	0.000182784	0.000159906	0.000105372	0.000128035	1.95789e-05	0.000166996	1.50053e-05	1.66338e-05	2.81565e-05	0.00031747	8.33438e-05	0	1.58833e-05	2.34234e-05	2.78968e-05	2.53534e-05	0	0.000117839	3.21138e-05	0.00023417	6.20036e-05	1.64256e-05	0.000160193	2.78227e-05	0.000103431	3.60665e-05	0.000124363	0.000264092	0.000102583	0.000340073	4.49464e-05	7.02935e-05
4-phosphoerythronate dehydrogenase (1.1.1.290)	0.00215955	0.000924983	0.00335603	0.0018164	0.00276821	0.0025682	0.00201191	0.00285315	0.00226901	0.000776521	0.000986438	0.00263472	0.000664237	0.00110027	0.00193553	0.00234557	0.0016495	0.000575925	0.000505113	0.000836523	0.0031374	0.00317542	0.000161182	0.00288395	0.0034694	0.00222984	0.00298722	0.00224787	0.00252802	0.00107138	0.00273749	0.00229129	0.0024259	0.0031496	0.00184224	0.0023956	0.0010357	0.00253783
1,5-anhydro-D-fructose reductase (1,5-anhydro-D-mannitol-forming) (1.1.1.292)	0.000194442	0.000871219	0.000234369	0.000666954	4.09744e-05	0.000197189	0.000438055	0.000100949	0.000453318	0.000195473	0.000429161	0.000372565	6.80918e-05	5.10705e-05	0	3.19648e-05	0.000293517	5.84804e-05	0.000175734	0.00011766	0.000228749	0.000234089	4.57564e-05	0.000404524	0.000225267	0.000457951	0.000119151	0.000277675	0.000560527	0.000115891	9.18812e-05	0.000137185	0.000109213	0.000121481	0.000272775	0.000195053	0.000403618	0.000684695
Homoserine dehydrogenase (1.1.1.3)	0.00135396	0.00213054	0.00169625	0.00138169	0.00109927	0.000885027	0.00164674	0.000921157	0.002021	0.00267532	0.00182615	0.000942644	0.000436639	0.000451113	0.000536266	0.00130529	0.00101988	0.000543758	0.000262117	0.000632288	0.00102428	0.00140954	0.000214352	0.00151356	0.00155284	0.00153752	0.000776882	0.00129066	0.00156764	0.000330902	0.000572714	0.00117946	0.00109597	0.00120986	0.00170163	0.00132323	0.00227429	0.00224629
UDP-N-acetyl-D-mannosamine dehydrogenase (1.1.1.336)	0.000404054	0.000186233	0	0.000245764	3.60665e-05	2.99809e-05	0.000119464	0.00109727	0.0002097	0.000141476	7.6351e-05	0.000579674	0.000110875	0.000406979	0	0.000239106	5.28716e-05	0	2.71429e-05	4.96793e-05	0.000420587	9.3276e-05	1.8472e-05	4.61785e-05	0.000221986	0.000562843	0.000225196	0.00018662	0.000130783	0.000121802	0.000128661	0.000218361	0.000287886	0.000700222	0.000245491	0.000258512	0.000148066	0
3-hydroxyacyl-CoA dehydrogenase (1.1.1.35)	0.000462146	0.000372118	0.000566683	0.00030923	0.000555992	0	0.000189868	6.95763e-05	6.41314e-05	0.000494323	0.00126469	8.73839e-05	5.10218e-05	1.38982e-05	0.00028356	0.000300735	4.60482e-05	2.17609e-05	3.66437e-05	3.85522e-05	2.08707e-05	6.90635e-05	3.93273e-05	5.89136e-05	6.68071e-05	0.00016933	0	0.000609621	0.000167117	1.67609e-05	0	0.000205789	0	1.74673e-05	8.96655e-05	8.95916e-05	0.00119423	0.000118923
Malate dehydrogenase (1.1.1.37)	0.00146381	0.000824523	0.00138344	0.00113412	0.00141357	0.00175364	0.00124555	0.00126709	0.00122276	0.000323461	0.000916778	0.00147412	0.00109092	0.00216564	0.00168223	0.00152465	0.00140286	0.00111901	0.00135886	0.000507862	0.00164771	0.00140078	0.00111303	0.00146543	0.00157285	0.00117767	0.00113506	0.00179582	0.00134876	0.00190606	0.00166778	0.00140304	0.00147099	0.0016774	0.000551887	0.00142265	0.000745711	0.000920923
Malate dehydrogenase (oxaloacetate-decarboxylating) (1.1.1.38)	0.000149067	5.77679e-05	0.000124095	0.000148831	0.000250995	0	2.68566e-05	2.92455e-05	0	0.000360497	0.000331841	1.03069e-05	1.24521e-05	0	5.03204e-05	8.65391e-05	0	0	1.53826e-05	0	0	9.84443e-06	1.3915e-05	0	3.96638e-05	2.00474e-05	0	0.000131616	1.75465e-05	0	0	3.54756e-05	1.82414e-05	9.94449e-06	5.22033e-05	0	0.000403503	0
Malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+)) (1.1.1.40)	0.000853514	0.000411818	0.000193788	0.000826532	0.000487578	0.000682886	0.000705935	0.000724485	0.00031338	0.000573231	0.000879371	0.000698954	0.00210651	0.00202342	0.000573374	0.000574938	0.00191595	0.00309311	0.00295631	0.00170751	0.000618351	0.000465868	0.00296761	0.00065407	0.000269899	0.000699048	0.000800521	0.000883371	0.000683336	0.00202315	0.000503738	0.00101136	0.00067371	0.000529714	0.00062085	0.000950719	0.000650862	0.000411932
Isocitrate dehydrogenase (NADP(+)) (1.1.1.42)	0.00100563	0.00173921	0.000750458	0.00142348	0.000945876	0.00109225	0.00159415	0.00114249	0.00136031	0.00157891	0.00115482	0.000939861	0.00133801	0.000881152	0.00119535	0.000980342	0.000771484	0.00106601	0.00106968	0.00234827	0.000723513	0.00108589	0.000986802	0.000983049	0.00143353	0.00114213	0.000635084	0.00124322	0.0011936	0.000497006	0.0010706	0.0010443	0.000890198	0.000846319	0.0016565	0.000746986	0.00151632	0.00192435
Phosphogluconate dehydrogenase (NADP(+)-dependent, decarboxylating) (1.1.1.44)	0.000998838	0.000390344	0.00111357	0.000881877	0.00104899	0.00111433	0.000704884	0.000871163	0.000854195	0.000226864	0.00101657	0.00100598	0.000217971	0.000412748	0.00111464	0.00102544	0.000570705	5.44081e-05	0.000193336	0.000236721	0.00121694	0.00109783	7.12291e-05	0.0008809	0.000905912	0.000776328	0.000862229	0.000911627	0.000971744	0.000303367	0.00110264	0.000741212	0.00105845	0.00106573	0.000275606	0.000846668	0.000683814	0.000934457
Glucose-6-phosphate dehydrogenase (NADP(+)) (1.1.1.49)	0.000788204	0.000398908	0.00121463	0.00071853	0.00112013	0.000820069	0.000681493	0.000613211	0.00091851	0.000364365	0.000658359	0.000981328	0.000192889	0.000427515	0.00113043	0.000860222	0.00036888	1.55637e-05	0.000146594	0.000180587	0.000931466	0.0010911	0	0.000938108	0.00107506	0.000594214	0.000808679	0.000972735	0.000850426	0.000244011	0.00107105	0.000800885	0.00072162	0.000856162	0.000242486	0.000511283	0.000683102	0.000930781
Fructuronate reductase (1.1.1.57)	0.000336961	0.000102883	0.000161344	0.000226193	0.000725677	0.000195431	0.000218162	0.000103441	1.81645e-05	0.000229733	0.000386011	0.000295651	1.69424e-05	1.36126e-05	0.000158399	0.000133424	5.57065e-05	7.00955e-05	1.45904e-05	0	0.000178656	0.00016961	2.60881e-05	6.83206e-05	0.000150488	8.22834e-05	1.61567e-05	0.000154468	0.000113041	2.14913e-05	0.00067599	9.70281e-05	0.000126853	1.21384e-05	0.000102843	8.67536e-05	0.00049771	9.2812e-05
Tagaturonate reductase (1.1.1.58)	0.000914366	0.000341937	0.000897597	0.00106526	0.000936533	0.000898159	0.000932738	0.000893716	0.000590263	0.000405593	0.00041244	0.000942284	0.000109921	0.000263728	0.00099461	0.00106098	0.000495677	0.000240728	0.00013742	0.000232554	0.00109889	0.000918216	6.27677e-05	0.000947712	0.00100461	0.000770715	0.000684412	0.000717118	0.00111935	0.000234792	0.00114456	0.000618075	0.00103872	0.000864554	0.000674169	0.00089798	0.000654477	0.00108891
Glycerol dehydrogenase (1.1.1.6)	0.000368589	0.000777406	0.000317505	0.000228457	0.00034051	0	0.000378996	0.0001519	0.000141943	0.00066138	0.000815765	6.52982e-05	7.4911e-05	0	0.000291991	0.000199799	2.55188e-05	4.9299e-05	9.41972e-05	3.65388e-05	0	7.11921e-05	5.50667e-05	8.77838e-05	0.00018365	0.000230655	0	0.000405085	0.000109419	2.07098e-05	0	0.000380735	5.32538e-05	7.767e-06	0.000244832	6.02111e-05	0.00111772	0.000181759
2-hydroxy-3-oxopropionate reductase (1.1.1.60)	0.000397353	0.000444709	0.000440344	0.000236892	0.000651206	8.00514e-06	9.50635e-05	0	2.41706e-05	0.000261344	0.0013263	5.75505e-05	0.000122849	0	0.000164095	0.000184675	0	0	0	0	0	1.72916e-05	0	2.431e-05	0	9.4992e-05	3.26424e-05	0.000373938	2.21895e-05	0	0	0.000328117	0	8.70817e-06	2.46507e-05	4.16008e-05	0.00103273	9.45147e-05
