	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle)	0.004411	0.00304121	0.00335467	0.00345943	0.00373629	0.00312023	0.00324083	0.00367048	0.00240449	0.00662223	0.00395905	0.00371744	0.00243634	0.00482438	0.00484921	0.00295912	0.00211183	0.00378021	0.00341902	0.00927658	0.00463728	0.00979059	0.00738156	0.00335773	0.00187542	0.00625602	0.00524148	0.00333563	0.00437951	0.00239615	0.00729584	0.00491292	0.00609677	0.00580186	0.00363569	0.00613441	0.00397811	0.00650033	0.00505725	0.00836431	0.00708697	0.00899973	0.00484372	0.00703636	0.00466991	0.00608236	0.0064639	0.00556226	0.0131679	0.00949811	0.00746243	0.00978507	0.00810954	0.00643308	0.0108843	0.00908651	0.0124296	0.0080831	0.0118545	0.0079437	0.00542157	0.00342187	0.00749902	0.00535357	0.00697447	0.00844779	0.00677241	0.00890128	0.00710332	0.00962374	0.00970954
ARO-PWY: chorismate biosynthesis I	0.00691015	0.00687316	0.0109894	0.00613796	0.00745246	0.00559804	0.00822275	0.0083143	0.00741765	0.00971558	0.00521173	0.00567929	0.00995111	0.00806209	0.00877479	0.0089536	0.0076186	0.00603682	0.00644734	0.00994478	0.00697561	0.0107627	0.00900731	0.0115685	0.00698405	0.00887627	0.00905738	0.00723161	0.00764979	0.00785041	0.00895659	0.00801131	0.00707227	0.00785245	0.00840643	0.00578251	0.00771677	0.00738522	0.00930123	0.00780166	0.00888881	0.00807559	0.0058009	0.00714426	0.00605082	0.00793164	0.00605065	0.0063782	0.01316	0.0103873	0.00915975	0.01068	0.0109248	0.00816446	0.0104561	0.0113899	0.0120018	0.0103257	0.0124532	0.0102339	0.00818828	0.00779009	0.00912435	0.00850275	0.00967258	0.0097766	0.00954538	0.0102732	0.00816249	0.0117005	0.0101677
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00714419	0.00658309	0.00904354	0.00638645	0.00546354	0.00538153	0.00453689	0.00662472	0.00761438	0.00521071	0.00508411	0.00608311	0.00950582	0.00493931	0.00722408	0.00854889	0.00814923	0.00546111	0.00667388	0.00421509	0.00428499	0.00527592	0.00528716	0.00167931	0.00838335	0.00598758	0.00731102	0.0082182	0.00717113	0.00765666	0.00484729	0.00648938	0.00609533	0.00534225	0.00816082	0.00472213	0.00658749	0.00456763	0.00666955	0.00342788	0.00451279	0.0041733	0.00593674	0.00410395	0.00549512	0.00365754	0.00429319	0.00530253	0.00303346	0.00557555	0.00550672	0.00475113	0.00627343	0.00438927	0.00473468	0.00438894	0.00308689	0.0076959	0.00337214	0.00561728	0.00643025	0.00750919	0.00470558	0.00846127	0.00588651	0.00534868	0.00511551	0.00581145	0.00503302	0.00408958	0.00483507
AST-PWY: L-arginine degradation II (AST pathway)	0.000362468	0.000341505	0.0	0.00194689	0.000227102	0.00110067	0.000134056	0.000141625	0.000452925	0.000510614	0.0013265	0.000577374	1.73995e-05	0.000291165	9.10302e-05	5.55436e-05	0.000426871	0.000658877	0.000463326	0.000316294	0.000833095	2.69954e-05	0.000120888	6.60833e-05	0.00102949	7.04076e-05	0.0	0.000252164	0.00037528	0.000265683	0.000186276	0.000156056	0.00112446	0.000904543	2.10553e-05	0.00159184	0.000498187	0.000627948	0.000174713	0.000606278	0.000345282	0.00179984	0.00332509	0.000801784	0.00124323	5.61976e-05	0.00111271	0.00124861	5.02183e-05	7.79875e-06	3.96923e-05	1.20883e-05	3.51659e-05	0.000232102	8.5164e-06	5.58631e-05	6.2022e-05	3.07433e-05	0.0	9.74488e-06	0.000279811	0.000578641	0.000541882	0.000142139	4.70165e-05	5.59214e-06	9.19314e-05	5.1816e-05	0.00052892	1.86457e-05	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00359057	0.00372999	0.00130476	0.00422463	0.00317953	0.00506013	0.00373274	0.0046007	0.00412574	0.00346116	0.00410769	0.00493951	0.00365867	0.00286803	0.00361737	0.00444462	0.00552339	0.00510067	0.00514772	0.00245977	0.00395896	0.00211269	0.00333014	0.000613186	0.00688558	0.0026551	0.00407704	0.0041982	0.00521217	0.00540075	0.00238006	0.00433882	0.00330276	0.00308544	0.00310151	0.00277803	0.00414915	0.00214899	0.00305871	0.00179545	0.0033802	0.00259036	0.00366181	0.00213405	0.00313122	0.00147961	0.00268122	0.00357662	0.00159933	0.00149454	0.00343282	0.000708849	0.00391962	0.00317143	0.00159352	0.0020106	0.00150186	0.00351916	0.00205388	0.00189654	0.00416485	0.00481878	0.00291165	0.00336232	0.00225967	0.0015942	0.00261936	0.00200809	0.00378753	0.0014225	0.00282828
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00903276	0.00781103	0.0104085	0.00671548	0.00894155	0.00636945	0.00697641	0.00552588	0.0075023	0.00698922	0.00605326	0.0054761	0.00880229	0.00740877	0.00733898	0.00723837	0.00415918	0.00621465	0.00559369	0.00793092	0.005665	0.00869892	0.00819942	0.00280065	0.00386956	0.00707632	0.00611322	0.00987042	0.00634948	0.00636937	0.00954921	0.00649658	0.00909029	0.00764066	0.00726336	0.00724013	0.00811432	0.00756736	0.00822754	0.00748688	0.00810469	0.00695936	0.00588296	0.00805692	0.00675395	0.00836356	0.00722417	0.00665472	0.00631142	0.00848771	0.00781041	0.00712635	0.00545485	0.00879527	0.00614306	0.0087343	0.00986723	0.00671157	0.00799226	0.00943634	0.00721814	0.00608549	0.00668499	0.00898025	0.00846268	0.0091555	0.00407099	0.0105211	0.00612577	0.00798512	0.0086376
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00806099	0.00768438	0.00541933	0.0069137	0.00533948	0.00646835	0.00721244	0.00691461	0.00643563	0.0072792	0.00551767	0.0060118	0.0046645	0.00745647	0.00660381	0.00593066	0.00710605	0.00629015	0.00644032	0.00751785	0.00701322	0.00944221	0.00545943	0.00764492	0.00711348	0.00746622	0.00688428	0.00674321	0.00724322	0.00695154	0.00866442	0.00652437	0.00715901	0.00741956	0.00802777	0.00754102	0.00770689	0.0076626	0.00621478	0.00806291	0.00737078	0.0083433	0.00746954	0.00768421	0.00619814	0.00848028	0.00654764	0.00674602	0.00906287	0.00780327	0.00820207	0.00907884	0.00601455	0.00808153	0.0100116	0.00589658	0.00922528	0.00586479	0.0084018	0.00632992	0.00694915	0.00670595	0.00721455	0.00784512	0.00612711	0.00837367	0.0101651	0.00813817	0.00722217	0.00732748	0.00855975
CARNMET-PWY: L-carnitine degradation I	0.000112332	4.6799e-05	0.0	5.48119e-05	9.91197e-05	0.000373967	5.7136e-05	3.93086e-05	0.000209774	3.50134e-05	0.000317987	0.000311771	0.0	7.51543e-05	2.79669e-05	9.49711e-06	0.000143433	0.000144526	0.000110621	9.66806e-05	0.000147861	9.87791e-06	1.76107e-05	4.91741e-06	4.18392e-05	1.1544e-05	0.0	0.000101797	9.75931e-05	0.0001252	4.94147e-05	3.37844e-05	2.13014e-05	8.55803e-06	0.0	0.000328537	8.65721e-05	2.17837e-05	6.50368e-06	0.000150843	6.08163e-05	1.72141e-06	3.96549e-05	0.000194071	0.000358239	9.9912e-06	0.000439915	0.000253815	2.31403e-05	0.0	1.24122e-05	0.0	5.63029e-06	8.60098e-05	0.0	1.98789e-05	1.23648e-05	1.10676e-05	0.0	0.0	6.86725e-05	3.5463e-05	0.000128799	2.50213e-05	1.27677e-05	0.0	3.11407e-05	2.80584e-05	0.000146717	1.36398e-05	0.0
CATECHOL-ORTHO-CLEAVAGE-PWY: catechol degradation to &beta;-ketoadipate	0.0	0.0	0.0	0.000702778	0.0	0.000130332	0.0	0.0	2.65494e-05	0.000249743	1.00936e-05	0.0	0.0	1.25655e-05	4.03579e-06	1.84435e-05	5.58854e-06	6.70536e-05	0.0	2.80011e-05	6.10354e-05	4.89305e-06	0.0	2.61934e-05	0.000416476	7.16489e-06	0.0	0.0	0.0	0.0	3.57619e-05	3.95021e-05	0.000244894	0.000448246	8.2511e-06	1.67872e-05	8.32293e-05	0.000233715	0.000131367	6.4342e-06	0.0	0.000699221	0.00139323	6.79853e-05	7.60801e-06	1.74122e-05	3.05767e-05	0.000258307	0.0	0.0	8.88442e-06	0.0	0.0	0.0	5.91549e-06	6.25306e-06	6.23943e-05	5.694e-06	1.01603e-05	0.0	1.63431e-05	0.000260078	0.000162131	0.0	1.00809e-05	9.85049e-06	1.23542e-05	1.53779e-05	2.32535e-05	0.0	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	5.50845e-05	0.000847789	0.000364904	3.13608e-05	0.000225859	0.00074907	0.000114975	0.000224494	0.000179942	0.000380827	0.000110337	0.000290568	0.000517081	0.000524379	0.000327106	0.000254614	2.00946e-05	0.000149425	0.0	0.000539345	0.00032812	0.000251544	0.000531979	4.3578e-05	0.000614739	0.000353047	0.000122263	0.000822034	0.000638844	0.000100042	0.000449634	0.000647841	0.000264319	0.000400559	0.000120576	0.00012479	0.000322539	0.000683784	0.000128621	0.0	0.000881188	0.000279135	0.000218576	0.000774146	4.58682e-05	0.00134351	0.000127832	0.000777777	0.000661175	0.000974735	0.00102513	0.000347826	0.000583309	0.00131894	0.000306058	0.000522084	0.00170148	0.00013959	0.000523753	0.000687475	0.000356282	0.000147601	0.000552068	0.000121555	0.000706094	0.000496491	0.000171092	0.00103288	0.000826745	0.000678195	0.000763436
CITRULBIO-PWY: L-citrulline biosynthesis	0.00382237	0.00185788	0.00485738	0.00215387	0.00112784	0.00296439	0.00347821	0.0043827	0.00235255	0.00305353	0.00245565	0.00377798	0.00429444	0.00411086	0.00437632	0.00588466	0.00331026	0.00337313	0.00378969	0.00217077	0.00246297	0.00399365	0.00382914	0.00146987	0.00336821	0.0038031	0.007739	0.00390003	0.00453168	0.00325193	0.00410791	0.00486325	0.00138945	0.00211852	0.00437407	0.00291486	0.00368869	0.00192348	0.00429828	0.00188944	0.00277283	0.000782583	0.00160032	0.00251364	0.00229657	0.00223364	0.00320125	0.00282363	0.0029238	0.00319399	0.00479339	0.00342777	0.0049643	0.00212501	0.00362926	0.00262899	0.00120297	0.00620096	0.0017735	0.00322923	0.00455561	0.00430207	0.00211922	0.00478188	0.00380605	0.00264336	0.0041455	0.00197583	0.003456	0.00222912	0.00356534
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.0071561	0.00696598	0.0115819	0.00441077	0.00874441	0.0045497	0.0075906	0.00824177	0.00668841	0.00820424	0.00460716	0.00531315	0.0112381	0.00776827	0.0085949	0.00980967	0.00702214	0.00598562	0.00632171	0.00849799	0.00644484	0.00946367	0.0103615	0.0164308	0.00649629	0.00940109	0.00886857	0.00671247	0.00757562	0.00804982	0.00800242	0.00805921	0.00620136	0.00702608	0.00861714	0.00484168	0.00747049	0.00730016	0.00876585	0.00681443	0.00847199	0.00734966	0.00294916	0.00628113	0.00504262	0.0085236	0.00533847	0.00543283	0.0110875	0.011114	0.00904626	0.0111581	0.0109715	0.00751913	0.00921596	0.0113362	0.0106693	0.0102318	0.0111761	0.0104021	0.00816412	0.00750354	0.00810627	0.00859703	0.0100993	0.0108571	0.0105673	0.00889723	0.00732302	0.0121399	0.00964393
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00737751	0.00695517	0.0110225	0.00421049	0.00904187	0.00433717	0.00746136	0.00807131	0.00640053	0.00758334	0.00435488	0.00511219	0.0108038	0.00737609	0.00831211	0.0104095	0.00693033	0.00571622	0.00641913	0.00790219	0.00616599	0.00887535	0.00997718	0.0163193	0.00655419	0.0089894	0.00883341	0.00675164	0.00718133	0.00796046	0.00798431	0.00789399	0.00587845	0.00679596	0.00843732	0.00447306	0.00793381	0.0070208	0.00856863	0.00646618	0.00787221	0.00675686	0.00276269	0.00588659	0.00491997	0.00793365	0.00493093	0.00514457	0.0101733	0.0104475	0.00864622	0.01065	0.0103543	0.00735215	0.00894283	0.0105203	0.0099135	0.00939124	0.0104683	0.00978537	0.00781833	0.00721676	0.00743394	0.00833909	0.00965597	0.0105166	0.0104946	0.00875688	0.00680662	0.0114816	0.00916607
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.00340863	0.00286745	0.00255354	0.00243041	0.00533631	0.00384193	0.00132301	0.00151736	0.00132855	0.00288089	0.00269894	0.00176044	0.0013511	0.00264729	0.00219199	0.00087517	0.000835379	0.00368636	0.00324742	0.00336031	0.00297565	0.00492183	0.0040972	0.00157521	0.00152694	0.00350861	0.00269242	0.00219597	0.00215863	0.00203853	0.000903794	0.00317157	0.00198237	0.00289183	0.00246552	0.00261709	0.00145581	0.0020104	0.00342539	0.00254514	0.00353933	0.00315509	0.0032631	0.00287948	0.00288928	0.00292392	0.00307884	0.0039345	0.00608693	0.0036267	0.0043273	0.00370117	0.0017676	0.00331459	0.0046882	0.00275714	0.00341541	0.00421642	0.00367774	0.00388091	0.00257038	0.00228484	0.00236217	0.00223912	0.00287065	0.00255841	0.00141535	0.00172658	0.00236524	0.0030525	0.00347717
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00315002	0.00457035	0.00229563	0.00307194	0.00329887	0.00333076	0.00372123	0.00329623	0.00336029	0.00282548	0.00313691	0.00291574	0.00270956	0.0025111	0.00317387	0.00196796	0.0031844	0.00398979	0.00415708	0.00305956	0.00314496	0.00343789	0.00257267	0.00136823	0.00295619	0.0034642	0.00344054	0.00289308	0.00341847	0.00385739	0.00268183	0.0034597	0.00312857	0.00270597	0.00452041	0.00272022	0.00278272	0.00219961	0.00327045	0.00232585	0.00256597	0.00286079	0.00250534	0.00281037	0.00362757	0.00309995	0.0024345	0.0024382	0.0030034	0.0034756	0.00421432	0.00328669	0.00439417	0.00361005	0.00433655	0.00286589	0.00344944	0.00300695	0.00309452	0.0028441	0.00259054	0.00252214	0.00315141	0.00381154	0.0029383	0.00241258	0.00213568	0.00277276	0.0029232	0.00277432	0.00419445
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.0068426	0.00655923	0.00816485	0.00586792	0.00668292	0.00559823	0.00666121	0.00712211	0.00603692	0.00757285	0.00470695	0.00555159	0.00758714	0.00723035	0.00777806	0.00727057	0.00653672	0.0059549	0.00607373	0.00894713	0.00614374	0.00996167	0.00838421	0.00945372	0.00685429	0.00824429	0.00872799	0.00646354	0.0068124	0.00689129	0.00876566	0.00768733	0.00721384	0.00726301	0.00761895	0.00574451	0.00760354	0.00657149	0.00864037	0.0077378	0.00786123	0.00727428	0.00539927	0.00676908	0.00571725	0.00755043	0.00519696	0.00604884	0.0103552	0.00984972	0.00887483	0.010159	0.0101646	0.00804582	0.00981487	0.00939675	0.0110201	0.00966586	0.0108222	0.00916569	0.00782885	0.00698014	0.00762233	0.00810488	0.00915403	0.00974922	0.00853457	0.00955763	0.00753294	0.0102246	0.00968451
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.00212066	0.000993953	0.000214192	0.00347518	0.00155133	0.00326155	0.00134342	0.00135401	0.00197263	0.00197431	0.00325585	0.00366092	0.000822501	0.00170445	0.000786547	0.000323796	0.00225126	0.00265235	0.00306915	0.00137416	0.0027595	0.00150672	0.00102928	0.000523553	0.00287908	0.000824039	0.000542468	0.00203892	0.00243799	0.00166957	0.00165807	0.00209233	0.00325291	0.00267005	0.000496074	0.00411475	0.00203101	0.00226678	0.00120197	0.00266552	0.00422707	0.00346296	0.00413713	0.00419993	0.00317939	0.00233243	0.00353444	0.00393815	0.000753008	0.00106887	0.000485296	0.000365973	0.000810315	0.00126517	0.000108033	0.00152667	0.00107842	0.00115918	0.00123459	0.000221834	0.00188047	0.00210948	0.00238847	0.00128218	0.00049318	0.0013844	0.000812489	0.00246782	0.00248291	0.00134234	0.000565664
DARABCATK12-PWY: D-arabinose degradation I	0.000160307	6.76769e-05	0.0	0.000336274	0.000118203	0.00041753	4.02574e-05	5.28032e-05	0.000171393	0.000190416	0.000287812	0.000268243	0.0	0.000144073	4.5458e-05	2.08167e-05	0.000222737	0.000263947	0.00026819	0.000137441	0.000198177	1.93621e-06	3.6373e-05	6.66894e-06	0.000192458	4.71771e-06	0.0	0.000241674	0.000157006	0.000104589	4.19866e-05	9.56258e-05	0.000692612	0.000104959	0.0	0.000483496	0.000106212	9.11819e-05	3.086e-05	0.000134029	7.76247e-05	0.000158625	0.000314786	0.000210834	0.000321607	3.33102e-05	0.000831372	0.000336643	2.87426e-05	1.616e-05	4.02863e-06	1.7586e-06	2.88447e-06	0.00016766	0.0	1.86754e-05	2.89487e-05	1.40619e-05	7.86074e-05	0.0	6.36953e-05	0.000116707	0.000169083	7.79881e-05	3.18281e-05	0.0	3.30517e-05	1.80121e-05	0.000318913	1.17611e-05	6.01307e-06
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.00147253	0.00064498	5.69419e-05	0.00224137	0.000742736	0.00225581	0.000941127	0.000785231	0.00126961	0.000936197	0.00205361	0.00181283	9.33475e-05	0.000997937	0.000736585	0.000145266	0.0017026	0.00181778	0.00203866	0.00100434	0.00244494	0.000251812	0.000322425	0.000126523	0.000879632	0.000230487	0.000503985	0.00114867	0.0016433	0.000966632	0.000778281	0.0019705	0.00313986	0.0020121	0.0	0.00168544	0.000868757	0.00101028	0.000841698	0.00106357	0.00054668	0.00241883	0.0021052	0.00173097	0.00168176	0.000119075	0.00271743	0.0021885	0.00018433	0.0	0.000138446	5.58595e-05	0.000212003	0.000658822	3.42627e-05	0.000287174	0.000201429	0.000754974	5.43716e-05	0.0	0.000794196	0.00155929	0.00174958	0.000430687	0.000153703	0.0	0.00033302	0.000233998	0.00190458	0.000388762	0.0
