EC	D605	D606	D607	D611	D612	D614	D616	D618	D619	D621	D624	D627	D629	D631	D632	D633	D636	D640	D641	D645	D646	D648	D678	D679	D680	D681	D683	D684	D685	D686	D687	C487	C488	C491	C492	NC01	NC02	NC03	NC04	NC05	NC06	NC07	NC08	NC09	NC10	NC12	NC13	NC14	B202	B204	B206	B207	B209	B211	B212	B223	B224	B226	B228	B230	B231	B232	B235	B236	B237	B238	B319	B320	B321	B322	B323
UDP-N-acetylglucosamine 6-dehydrogenase (1.1.1.136)	1.88952e-06	0.00027942	6.62569e-05	0.000344302	0	1.5937e-05	0.00112822	0.000127804	0.00108796	0.000191129	1.85392e-05	6.33986e-06	0.000134175	0.000206221	0.000114622	6.44239e-07	1.61163e-06	0.000542537	0.000156693	1.96744e-05	0.000189186	4.66511e-05	7.05402e-06	5.26327e-05	0	1.62466e-05	8.40208e-07	4.6723e-05	0.000363884	1.57742e-05	4.71057e-06	1.67112e-05	2.84289e-05	2.26693e-06	0.00022089	4.9441e-06	3.37318e-05	0	3.53758e-05	1.92914e-06	9.34549e-05	0	0	2.91128e-06	0.000197836	5.83561e-05	1.49965e-05	0.000320988	2.56382e-06	0.00010349	0.000106578	0	9.76396e-06	0.000158119	0.000160891	6.60163e-05	1.16606e-06	0.000113452	0.000109527	2.3576e-05	7.22071e-05	0.000168813	0.000160673	5.37034e-05	3.92364e-06	9.30154e-06	2.93184e-05	0	0.000149819	1.03428e-05	5.30415e-05
L-iditol 2-dehydrogenase (1.1.1.14)	0.000525829	0.000425189	0.000349096	0.00052068	0.000726621	0.00153023	0.000263587	0.000432153	0.000240787	0.000310281	0.000635403	0.00042775	0.000180302	0.000456124	0.000664565	0.000115954	0.000176876	0.000641144	0.000587777	0.000335423	0.000387666	0.000933437	0.000404201	0.000227954	0.000222409	0.000459073	0.000336087	0.000494207	0.000662078	0.000412337	0.00115583	0.000534312	0.000251766	0.000468426	0.000423986	0.00168307	0.000377643	0.000680794	0.000726641	0.00150349	0.000713937	0.000533474	0.000536855	0.00137985	0.000803304	0.00223369	0.00149322	0.000723461	0.000456019	0.00050496	0.000655157	0.000408799	0.000183869	0.000873491	0.000630799	0.000429958	0.000661751	0.000614835	0.000351874	0.000570929	0.000430851	0.000332507	0.000257302	0.00034846	0.000429703	0.000575472	0.00024573	0.00029464	0.000690066	0.000313736	0.000517294
Sorbitol-6-phosphate 2-dehydrogenase (1.1.1.140)	0.000266776	9.63309e-05	4.71994e-06	0.00036253	0.000160871	0.000808092	0.000104462	0.000109525	0.000183111	8.50579e-05	0.000394408	0.000285557	4.84156e-06	0.000113653	3.88932e-05	1.26675e-05	0.000111134	0.00040616	0.000392773	0.000111292	0.00029072	1.57977e-05	3.55666e-05	2.58914e-05	0.000305722	3.37058e-05	3.31761e-06	0.000231558	0.000280798	0.000147413	6.98878e-05	6.64873e-05	0.000298973	0.00019176	5.84671e-06	0.000859538	0.000164025	0.000556083	5.7417e-05	0.000412679	0.000126441	0.000352773	0.00103122	0.000559343	0.000425532	0.000293354	0.000884779	0.000573887	3.81804e-05	5.21023e-05	3.76551e-05	5.46747e-06	1.26512e-05	6.13108e-05	5.72095e-06	3.46109e-05	4.02184e-05	5.90438e-05	1.73993e-05	1.23347e-05	8.67191e-05	0.000150804	0.000181785	7.48924e-05	3.42143e-05	1.27302e-05	1.76366e-05	3.05685e-05	0.000230921	2.73405e-05	1.23657e-05
Ureidoglycolate dehydrogenase (1.1.1.154)	0.00016234	8.96809e-05	1.11137e-05	0.00010136	6.25098e-05	0.000620405	8.47839e-05	6.02444e-05	0.000108369	4.61022e-05	0.000242345	0.000155236	1.77177e-06	3.21512e-05	1.29149e-05	1.05402e-05	0.000127417	0.000283334	0.000244936	4.33589e-05	0.000108226	1.66579e-05	2.51593e-05	1.37592e-05	6.52266e-05	1.41167e-05	1.87898e-05	0.000182176	0.000183784	0.000136666	3.01181e-05	3.50967e-05	9.02105e-06	3.87334e-05	1.13767e-06	0.000330762	7.78285e-05	2.61474e-05	1.99889e-05	0.000142168	5.75818e-05	5.79381e-05	0.0001619	0.00017754	0.000218503	8.25657e-06	0.00031751	0.000247921	1.66476e-05	2.30523e-06	1.68825e-05	0	1.19061e-05	2.04098e-05	3.30974e-06	2.5211e-05	4.06625e-06	9.95209e-06	4.67371e-06	2.56483e-06	6.031e-05	1.78454e-05	7.64106e-05	4.77499e-05	8.84475e-06	5.29026e-06	1.53077e-05	1.80782e-05	0.00011049	5.32992e-06	2.12734e-06
3-hydroxybutyryl-CoA dehydrogenase (1.1.1.157)	0.00021645	0.000235551	9.72329e-05	0.000209647	0.000172445	4.90796e-05	6.65915e-05	2.92934e-05	7.11481e-05	0.000481873	0.000269602	0.00013548	0.000127135	0.000223214	0.000280125	1.71253e-05	0.000129156	0.000212112	0.000123444	0.000455778	0.000350065	0.000446792	0.000229698	0.000111801	0.000229445	0.000231596	0.000241592	6.97474e-05	0.000136496	0.000119697	9.1029e-05	0.000260688	0.000397613	0.000325955	0.000125829	0.000661535	0.000127798	0.000501335	7.99782e-05	0.00016358	0.00043689	0.000745405	0.000534642	0.000628013	6.47322e-05	0.000488219	0.000192693	0.000245723	0.000608003	0.000292193	0.000265636	0.000244115	0.000487887	0.000308402	0.000138901	0.000442906	0.000296216	0.000440072	0.000474268	0.000359788	0.000195486	0.000198605	0.000496753	0.000194422	0.000253926	0.000101427	7.60002e-05	0.000182967	0.000460698	0.000451452	0.000198788
7-alpha-hydroxysteroid dehydrogenase (1.1.1.159)	2.77007e-05	0.000250955	1.90582e-05	2.54675e-05	3.13195e-05	0.000119123	2.10155e-05	1.38529e-05	7.69041e-05	5.54332e-05	0.000274887	6.91615e-05	5.43843e-05	4.26712e-05	4.11665e-05	5.37005e-06	7.73619e-05	3.65596e-05	0.000120056	8.07995e-05	8.66082e-05	0.00021246	1.701e-05	6.50154e-05	4.28707e-05	7.1975e-05	7.49179e-05	3.54752e-05	7.64448e-05	0.000140547	1.71562e-05	1.47532e-05	1.2856e-05	3.74931e-05	5.24619e-05	0.000201432	6.63019e-05	9.72649e-05	7.84931e-06	5.56689e-05	5.97618e-05	1.24642e-05	4.21122e-05	0.000138433	0.000230218	1.54626e-05	0.000181553	9.39118e-05	1.39627e-05	0.000108944	4.95889e-05	2.48204e-05	6.79777e-05	5.54913e-05	2.71895e-05	4.98621e-05	5.58755e-05	4.33137e-06	1.08698e-05	0.000222132	5.92115e-05	5.4112e-05	4.64104e-05	2.52827e-05	0.000209475	2.36831e-05	4.25127e-05	1.27619e-05	0.00010293	1.79458e-05	1.07841e-05
2-dehydropantoate 2-reductase (1.1.1.169)	0.00115919	0.00127258	0.00171805	0.00146436	0.00176895	0.00126823	0.00182166	0.00188246	0.00169706	0.00178812	0.0011758	0.00145413	0.00193549	0.0016761	0.00219271	0.00202396	0.0021345	0.0014866	0.0014807	0.00149671	0.00191798	0.00210705	0.00160054	0.00289698	0.00198027	0.00199906	0.00183215	0.00135624	0.00156388	0.00192311	0.00210301	0.00185115	0.0013739	0.00150792	0.00194201	0.000880404	0.00170894	0.00128162	0.00168154	0.0014167	0.00132049	0.00178658	0.00114621	0.00132977	0.000973765	0.00139799	0.000817942	0.00128025	0.00193486	0.001687	0.00188728	0.0022333	0.00232142	0.00182824	0.00201713	0.00127148	0.00101318	0.00217673	0.00165075	0.001395	0.00191894	0.00199231	0.00150638	0.00178763	0.00156405	0.00190682	0.00266387	0.00105257	0.00124929	0.00164861	0.00157173
Mannitol-1-phosphate 5-dehydrogenase (1.1.1.17)	0.000135568	0.000156013	6.30096e-06	0.00029461	6.21344e-05	0.00033282	8.044e-05	0.000153372	0.000198257	0.000237304	0.000704467	0.000289935	2.17321e-05	0.000116724	4.15807e-05	1.99599e-05	0.000206562	0.000172094	0.000111066	0.000123224	0.000365952	2.61166e-05	0.00015639	1.87564e-05	0.000209975	9.67347e-05	0.000151747	0.000205848	0.000125199	7.08516e-05	9.73496e-05	0.000126049	0.000348688	0.000197984	7.489e-05	0.00065833	0.000176709	0.00085765	9.11073e-05	0.000888156	0.000242607	0.00029554	0.000645841	0.000443781	0.000542339	0.000484952	0.00080125	0.000267475	3.15959e-05	8.36425e-05	0.000219101	0.000501057	2.96282e-05	0.000104811	0.00101423	6.34934e-05	8.94857e-05	0.000102252	3.72635e-05	3.74042e-05	0.000115752	0.000167796	0.000258996	6.11924e-05	0.000124815	2.40619e-05	0.0004741	8.57996e-05	0.000222113	6.35004e-05	0.000219435
Inositol 2-dehydrogenase (1.1.1.18)	3.06376e-05	0.00181105	0.00100785	0.00224187	0.0024422	0.00100296	0.0011123	0.000583288	0.000822665	0.000784722	0.00133215	0.000815617	0.000526435	0.00153837	0.00105026	0.00220953	0.000404036	0.000864174	0.000904128	0.000488401	0.000552053	0.000232514	0.000639571	0.000205289	0.000521168	0.000680003	0.000805779	0.000684087	0.000462872	0.00117016	0.000639974	0.00082398	0.000229941	0.000597565	0.00136076	0.000331585	0.000364275	0.000500104	0.00133827	0.000946153	0.000393832	0.00086351	0.00158539	0.000706344	0.00033116	0.00148018	7.81037e-05	0.000530481	0.000159845	0.000436365	0.00111016	0.000946572	0.000465107	0.00112625	0.00149662	0.000609247	0.000254722	0.000393242	0.000260259	0.00112412	0.000811975	0.000782101	0.000339249	0.000399129	0.000816103	0.000409517	0.000875164	0.000253561	0.000593323	0.000390845	0.000549167
5-amino-6-(5-phosphoribosylamino)uracil reductase (1.1.1.193)	0.0016957	0.00124415	0.00170949	0.000951768	0.00127025	0.00111239	0.00164452	0.00149069	0.00144932	0.00146277	0.000769947	0.00118933	0.00162841	0.00140276	0.00149712	0.0013752	0.00156599	0.00136831	0.00144146	0.00120185	0.00143235	0.00161369	0.00113985	0.00263251	0.0013803	0.0016496	0.00157313	0.00158875	0.00141484	0.00167353	0.00142315	0.00140839	0.00166711	0.00123617	0.00147672	0.000458343	0.00179746	0.000635655	0.00128689	0.00104692	0.00100738	0.000725652	0.000477642	0.000373818	0.000444074	0.000936632	0.000541037	0.000726853	0.0016918	0.00129359	0.00142232	0.00188258	0.00197825	0.00135787	0.00168716	0.00106912	0.00105609	0.00182038	0.00124731	0.00138694	0.00148783	0.0014589	0.00125514	0.00170372	0.00139305	0.00146923	0.00227535	0.00134566	0.00145779	0.00152163	0.001342
Alcohol dehydrogenase (NADP(+)) (1.1.1.2)	0.000614071	0.000215716	6.48932e-05	0.00041482	7.85426e-05	0.000479295	0.000101734	0.000132164	0.000181273	0.00014111	0.000545175	0.000352198	2.85066e-05	0.000237989	9.02958e-05	2.68055e-05	0.00019781	0.00021699	0.000155599	0.000253461	0.000295773	3.18739e-05	4.19711e-05	5.67244e-05	0.000195147	5.89955e-05	4.5511e-05	0.000555784	0.000273818	0.00021115	0.000134443	0.000125801	0.000798023	0.000165855	8.06101e-05	0.000581665	0.000521082	0.000172876	5.70459e-05	0.000230071	0.000302949	0.000267055	0.000561604	0.000273075	0.000452182	0.000167215	0.000334044	0.000194096	5.36582e-05	5.42423e-05	7.27693e-05	6.17867e-05	7.62435e-05	0.00019641	0.000106465	0.000117061	4.3258e-05	5.06308e-05	6.25075e-05	0.000162237	0.000119634	0.000164056	0.000203158	0.000308473	6.587e-05	1.76039e-05	8.89177e-05	0.000544759	0.000209092	2.50287e-05	3.69831e-05
1,3-propanediol dehydrogenase (1.1.1.202)	1.90552e-05	0.00011553	3.20438e-05	0.000215231	4.82795e-06	6.91886e-05	2.00092e-05	9.14745e-05	3.85505e-05	0.00016597	5.96242e-05	3.83011e-06	7.02064e-05	7.85307e-05	0.000115667	4.2396e-05	6.41314e-06	1.98645e-05	0.000103665	0.000189242	3.71347e-05	0.000418093	0.000122888	2.91904e-05	0.000121498	7.78114e-05	0.000190486	3.8919e-05	0.000133252	0.000121728	0.000568281	0.000112331	7.68567e-05	0.000224869	0.000108178	0.000142523	6.13199e-05	0.000258977	5.71395e-05	0.000277916	0.000251901	0.000231174	0.000422056	0.000210227	2.62203e-05	0.00037533	0.000138115	0.000133451	0.000241014	0.000189632	0.000110843	0.000143113	0.000123972	0.000356988	8.73873e-05	6.70966e-05	0.000325223	4.66277e-05	0.000119532	0.000127086	0.000210109	0.000104901	0.000162295	6.25428e-05	0.000120997	0.00025859	1.12936e-05	0.000150794	0.000135912	0.000193798	0.000286339
IMP dehydrogenase (1.1.1.205)	0.00207009	0.00228354	0.00187616	0.00165169	0.00158217	0.00159665	0.00234948	0.00183344	0.00209894	0.00213557	0.0012209	0.00155036	0.00195576	0.00191726	0.00177592	0.00174874	0.00159948	0.00167113	0.00159567	0.00207385	0.00186403	0.00180944	0.00196413	0.00225475	0.00135614	0.00186251	0.0017783	0.00192994	0.00165183	0.00186986	0.00170695	0.00162075	0.00182422	0.0017605	0.00176804	0.00118931	0.00207242	0.00190562	0.0018194	0.00126782	0.00197227	0.00094253	0.000726002	0.0012684	0.00137102	0.0017612	0.00126394	0.00157238	0.00187748	0.00187135	0.00160414	0.00162669	0.00197575	0.00193023	0.00115493	0.00181485	0.00178243	0.00198112	0.00182736	0.00202645	0.00159186	0.00158513	0.00165245	0.00199455	0.00161593	0.00193116	0.00182938	0.00232768	0.00167282	0.00193296	0.00178095
UDP-glucose 6-dehydrogenase (1.1.1.22)	0.00172654	0.0029719	0.00245795	0.00247179	0.00310636	0.00293525	0.00329844	0.00239556	0.00304167	0.0018851	0.00151439	0.00210483	0.00212121	0.00278231	0.0023116	0.00227958	0.00234356	0.00254769	0.00204586	0.00136876	0.00207073	0.000641528	0.00224033	0.001829	0.00294473	0.00182925	0.00191627	0.00257066	0.00202492	0.00312456	0.00182578	0.00159372	0.00168217	0.00160693	0.00296053	0.00134386	0.00266873	0.00173071	0.00316532	0.00103726	0.00173349	0.00168356	0.00133411	0.00126989	0.00102706	0.00156764	0.00091567	0.00147884	0.00113634	0.0020088	0.00240691	0.0017953	0.00206389	0.00235966	0.00219666	0.00206973	0.00165863	0.00175462	0.00242098	0.0022883	0.00156935	0.00218051	0.00114987	0.00228497	0.00210299	0.0018938	0.00306618	0.00222718	0.00159835	0.00179936	0.00204148
Histidinol dehydrogenase (1.1.1.23)	0.00170972	0.00124417	0.00165601	0.00101258	0.00109882	0.00111753	0.00123714	0.00134668	0.00132698	0.00163649	0.00082578	0.00119307	0.00142522	0.00161722	0.00128178	0.00138033	0.00121363	0.00109595	0.00113028	0.00198514	0.00127538	0.00120572	0.00166397	0.00205542	0.00130598	0.00141109	0.00155278	0.0017706	0.00144924	0.00136085	0.00143748	0.0013626	0.0024425	0.00158798	0.00148105	0.00133702	0.00178373	0.00124728	0.0016299	0.00127471	0.00185018	0.0019873	0.00101524	0.00144246	0.00105498	0.00139246	0.0009801	0.00142849	0.0023704	0.00194524	0.0016985	0.00203835	0.00218521	0.00155223	0.00176852	0.00199773	0.00207633	0.00220161	0.00185518	0.00198554	0.00161673	0.00137475	0.00200662	0.00195193	0.0018841	0.0018692	0.00193209	0.00219654	0.00177278	0.00224174	0.0018849
Shikimate dehydrogenase (1.1.1.25)	0.000883046	0.00146056	0.00156523	0.0017811	0.00111973	0.0014627	0.00139495	0.00149142	0.0017448	0.00103126	0.000998916	0.00127035	0.00132498	0.00145563	0.00155303	0.00125644	0.00133317	0.00110476	0.0013267	0.00127806	0.0009265	0.00160845	0.0011393	0.000835781	0.00141865	0.00118512	0.0012637	0.00148377	0.00150924	0.00130232	0.00166971	0.00147619	0.0011922	0.00133812	0.00149649	0.00137165	0.00114141	0.00238498	0.00173984	0.00190489	0.00138044	0.00134596	0.00170536	0.00177945	0.00171017	0.00159996	0.00100523	0.00154482	0.00125812	0.00141869	0.00154268	0.0014748	0.00136574	0.00180647	0.00217747	0.00109081	0.0016609	0.00141899	0.00133638	0.00110156	0.0013115	0.00151589	0.00122992	0.00131515	0.00145949	0.00124758	0.00109077	0.00137792	0.00151909	0.00137293	0.00165638
Galactitol-1-phosphate 5-dehydrogenase (1.1.1.251)	7.74951e-05	5.57547e-05	0	3.13187e-05	5.25999e-05	0.000268032	2.43543e-05	1.33905e-05	4.19257e-05	1.51636e-05	0.000227445	0.000103258	8.26136e-07	2.6003e-05	1.67665e-05	2.75852e-06	8.85184e-05	0.0001135	0.000115604	2.99896e-05	9.31936e-05	8.37296e-06	1.34465e-05	4.87326e-06	1.64904e-05	8.37824e-06	0	6.9797e-05	9.57153e-05	4.79725e-05	4.10689e-05	1.53378e-05	7.16012e-06	7.02727e-06	6.33274e-07	0.000329814	6.33568e-05	0.000232439	1.04735e-05	0.000118683	4.88938e-05	6.00451e-06	3.05927e-05	0.000217929	0.000196057	0.000169273	0.00026161	0.000168962	1.73758e-05	0	4.97418e-06	1.28842e-06	4.37696e-07	3.66992e-05	1.87629e-06	1.3125e-05	3.65251e-06	4.72146e-06	2.07151e-06	6.03476e-07	3.02996e-05	1.99851e-05	4.18972e-05	1.76741e-05	5.50133e-06	7.87727e-07	9.14921e-06	7.76024e-06	5.55146e-05	1.49653e-06	4.35834e-06
