	A007	A008	A011	A016	A020	A024	A025	A033	A035	A036	A040	A042	A045	A052	A056	A060	A063	A002	A004	A006	A012	A014	A015	A018	A022	A026	A028	A030	A031	A032	A041	A044	A047	A050	A051	A057	A061	A062
ARO-PWY: chorismate biosynthesis I	0.006803	0.00928252	0.00803906	0.00754623	0.00739851	0.00987614	0.00953369	0.0108279	0.0110153	0.00910151	0.00554917	0.0104656	0.00965224	0.00873361	0.00897278	0.00794471	0.00962471	0.00758914	0.00542313	0.0108519	0.0107955	0.0105068	0.00937776	0.0103469	0.0104255	0.00940011	0.0104064	0.00730577	0.0103254	0.0081146	0.0114007	0.00848276	0.010087	0.00995621	0.0104002	0.00987601	0.00710882	0.0113378
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis	0.00670458	0.00333915	0.00936326	0.00407874	0.00706237	0.00808774	0.00571055	0.00698054	0.00508565	0.00399651	0.00576211	0.00824057	0.0134042	0.0119467	0.00326376	0.00722583	0.0101012	0.0132514	0.016683	0.0102857	0.0102655	0.00868614	0.0143292	0.00860711	0.00803019	0.0056478	0.00685493	0.0050527	0.00808894	0.0107802	0.00843821	0.00833923	0.00811306	0.00933417	0.00434916	0.00629486	0.0039487	0.00618182
AST-PWY: L-arginine degradation II (AST pathway)	0.00044279	0.000135295	0.0004668	0.000211438	0.000389967	0.0	0.0	0.0	0.0	0.000356156	0.000843392	0.0	0.0	0.0	0.000214116	0.000239362	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000523168	0.0	0.0	0.0	0.000198895	0.0	0.0	0.0	0.0	0.000854152	0.0
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I	0.00410337	0.00198686	0.00556673	0.00343676	0.00520241	0.00217592	0.00238123	0.00304704	0.00287777	0.00270469	0.00272547	0.00381934	0.000623268	0.00163499	0.0032099	0.00475807	0.00248222	0.0	0.00114335	0.00153118	0.00465914	0.00424452	0.0	0.00560193	0.000954894	0.00365782	0.00245237	0.00455287	0.00312231	0.0	0.0028427	0.00407172	0.00227853	0.00363823	0.00148522	0.00182105	0.00291303	0.000844151
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis	0.00704519	0.010556	0.00443742	0.00735379	0.00706158	0.0099907	0.00796166	0.00708553	0.00923159	0.00765873	0.00733592	0.00981633	0.0167013	0.016889	0.00984987	0.00888251	0.0142704	0.020927	0.0182832	0.0142086	0.00904798	0.00626526	0.0214408	0.00767807	0.00883153	0.00866473	0.0083545	0.00870918	0.00910657	0.0168676	0.0116189	0.00930933	0.00966768	0.00908398	0.00756214	0.0097969	0.00799274	0.00825493
CALVIN-PWY: Calvin-Benson-Bassham cycle	0.00626987	0.00925784	0.00708798	0.00651201	0.00662482	0.00626091	0.00830203	0.00542744	0.00780056	0.00864416	0.00665533	0.00718132	0.0106106	0.0131704	0.00631826	0.0064389	0.00926146	0.0137643	0.0122283	0.00637927	0.00426962	0.00697323	0.0154947	0.00704751	0.00665038	0.00778087	0.00579772	0.00698231	0.00760255	0.0123365	0.00666106	0.00800615	0.00669989	0.00483147	0.0100774	0.00784433	0.00691116	0.00957407
CARNMET-PWY: L-carnitine degradation I	0.000177409	2.44818e-05	0.0001392	9.68404e-05	0.000164229	0.0	0.0	0.0	0.0	0.000409814	0.000247515	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000102229	0.0	0.0	0.0	6.79386e-05	0.0	0.0	0.0	0.0	0.000256572	0.0
CENTFERM-PWY: pyruvate fermentation to butanoate	0.000131485	0.000726594	0.000150694	0.0	0.0	0.0	0.0	0.0	0.0	0.00119646	0.00033829	0.0	0.000165122	0.0	0.000983157	0.0	0.000355648	0.000324922	0.0	0.000269825	0.0	0.000258018	0.0	0.000166084	0.00015064	0.000304751	0.0	0.000688659	0.00040286	0.0	0.0	0.0	0.0	0.000108597	0.000318464	0.0	0.000469378	0.0
CITRULBIO-PWY: L-citrulline biosynthesis	0.00358307	0.00173484	0.00372539	0.00237426	0.00364357	0.00327709	0.00655926	0.0048479	0.00690974	0.00173057	0.00283598	0.00381707	0.00199796	0.00168641	0.000609067	0.00305249	0.00350744	0.000850185	0.00153995	0.00349962	0.00264266	0.00517862	0.000451309	0.00548295	0.005626	0.00587678	0.0019263	0.00360589	0.00606036	0.00264819	0.00151865	0.00398801	0.00365116	0.00406229	0.00311248	0.00363232	0.00244766	0.006758
COA-PWY-1: superpathway of coenzyme A biosynthesis III (mammals)	0.0065865	0.00692909	0.00668857	0.00734284	0.00607261	0.010164	0.00893824	0.0107855	0.011147	0.00774762	0.00436844	0.00886167	0.0059406	0.00564972	0.00865011	0.00766492	0.00773979	0.00422411	0.00346955	0.01211	0.0100315	0.00974821	0.00345412	0.0090517	0.0100927	0.00851569	0.00993802	0.00685567	0.00960941	0.00533269	0.00958402	0.00655013	0.00992303	0.00967076	0.0102236	0.00969735	0.00535244	0.0104112
COA-PWY: coenzyme A biosynthesis I (prokaryotic)	0.00620046	0.00797369	0.00640495	0.00711697	0.00601189	0.00969781	0.00838728	0.0104923	0.0112146	0.00766098	0.00420477	0.00843137	0.00804816	0.00591645	0.00819858	0.00740329	0.00782933	0.00441858	0.00346862	0.0127493	0.0097177	0.0094553	0.00610145	0.00893155	0.00986941	0.00816529	0.0140979	0.0071837	0.00916625	0.00555733	0.0092994	0.00640356	0.00943315	0.00935076	0.00958567	0.00931949	0.00504622	0.0101797
COBALSYN-PWY: superpathway of adenosylcobalamin salvage from cobinamide I	0.00228548	0.00376486	0.000734939	0.00165395	0.000982541	0.00363885	0.00260119	0.00189001	0.000824494	0.00418596	0.00161873	0.00161505	0.000474629	0.000707567	0.00168258	0.00203783	0.00147316	0.000295814	0.0	0.00064603	0.00297178	0.00150401	0.000165447	0.00187219	0.000696861	0.00221798	0.0019084	0.00139505	0.00223031	0.000448432	0.00108602	0.000800341	0.00325193	0.00179782	0.00247213	0.00242692	0.00233102	0.0022826
COLANSYN-PWY: colanic acid building blocks biosynthesis	0.00334243	0.00265022	0.00303936	0.00326425	0.00390693	0.00286194	0.00406897	0.00279096	0.00313804	0.00427502	0.00446398	0.0033125	0.0022796	0.00169587	0.00447391	0.00353614	0.00153137	0.00158957	0.00180499	0.00200345	0.00183368	0.00282637	0.00148558	0.00372735	0.00313589	0.00314143	0.00107935	0.00273469	0.00184228	0.00162915	0.00464241	0.00304034	0.00227077	0.00234038	0.00293373	0.00365631	0.00381971	0.00243402
COMPLETE-ARO-PWY: superpathway of aromatic amino acid biosynthesis	0.00620671	0.00867827	0.00700355	0.00721395	0.0062433	0.00664379	0.00890433	0.00729975	0.00988159	0.00884399	0.00545262	0.00737351	0.00692842	0.00445479	0.00790236	0.00622119	0.00736932	0.00711701	0.00410581	0.00791448	0.00499618	0.00784977	0.00567004	0.0093492	0.00817753	0.00822615	0.00607132	0.00678608	0.00856704	0.0059445	0.00349629	0.00702041	0.00743884	0.00688739	0.00925048	0.00748097	0.00674046	0.0101989
DAPLYSINESYN-PWY: L-lysine biosynthesis I	0.00242631	0.00337239	0.00283214	0.0021158	0.00273301	0.00367096	0.000545838	0.000309862	0.00188096	0.00308169	0.0039732	0.0	0.000613267	0.0	0.00187967	0.00223325	0.0	0.00206861	0.00132237	0.00102705	0.00079497	0.00113403	0.0	0.0	0.000610185	0.00138374	0.0	0.00307584	0.000603157	0.0	0.0	0.00137083	0.000874716	0.0	0.000948455	0.000803569	0.00371626	0.00295018
DARABCATK12-PWY: D-arabinose degradation I	0.000233234	0.000116094	0.000334926	0.000390649	0.000374235	0.0	4.4266e-05	0.0	0.0	0.000111808	0.000510555	0.0	0.0	0.0	0.0	0.000131274	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.49299e-05	0.0	0.000647051	0.0	0.0	0.0	5.9021e-05	0.0	0.0	0.0	0.0	0.000220771	0.0
DENOVOPURINE2-PWY: superpathway of purine nucleotides de novo biosynthesis II	0.00145638	8.01055e-05	0.00148662	0.00275695	0.00151731	0.0	0.0	0.0	0.0	0.000785424	0.0019098	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00126823	0.00127859	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001031	0.0	0.0	0.0	0.00119098	0.0	0.0	0.0	0.0	0.00135704	0.0
DTDPRHAMSYN-PWY: dTDP-&beta;-L-rhamnose biosynthesis	0.00877529	0.0118116	0.0067643	0.0138634	0.00901031	0.0163398	0.0124554	0.0154213	0.0154398	0.00924253	0.00662161	0.0201283	0.02971	0.0385552	0.0190833	0.0174369	0.0215537	0.0245638	0.0378094	0.0169813	0.0143927	0.0138697	0.0553332	0.0193178	0.0184831	0.0115888	0.0304133	0.0106234	0.0153339	0.0605511	0.0252145	0.0227422	0.0175341	0.0178103	0.0151168	0.01601	0.0051047	0.0155065
ECASYN-PWY: enterobacterial common antigen biosynthesis	0.000521236	0.000100856	0.000389167	0.000870863	0.000244283	0.0	0.0	0.0	0.0	0.00101979	0.00043841	0.0	0.0	0.0	0.0	7.33775e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6211e-05	0.0	0.000205724	0.0	0.0	0.0	0.000245239	0.0	0.0	0.0	0.0	0.000595119	0.0
FAO-PWY: fatty acid &beta;-oxidation I (generic)	0.00125191	0.000587806	0.00115097	0.0014081	0.00179601	0.0	0.0	0.0	0.0	0.00204382	0.00273806	0.0	0.000282244	0.0	0.000884877	0.000938552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000322571	0.0	0.000951714	0.0	0.0	0.0	0.000743704	0.0	0.0	0.0	0.0	0.00174025	0.0
FASYN-ELONG-PWY: fatty acid elongation -- saturated	0.0042768	0.00213262	0.00540844	0.00366477	0.00528126	0.00207195	0.00226086	0.00244444	0.00283641	0.00337299	0.00498408	0.00381575	0.000642176	0.00162313	0.00311839	0.00486331	0.00263728	0.0	0.00152355	0.00183865	0.00451145	0.0042083	0.0	0.00603081	0.000897968	0.0039987	0.00230074	0.00498476	0.00313894	0.0	0.002706	0.00430195	0.0021954	0.00360167	0.00157849	0.00134392	0.00362677	0.000801136
FERMENTATION-PWY: mixed acid fermentation	0.00310574	0.00184028	0.00256097	0.00206363	0.0026158	0.0040429	0.00256856	0.0	0.000387131	0.00267484	0.00466255	0.000572444	0.000693022	0.000366087	0.00169523	0.0012821	0.000689099	0.00315962	0.0021372	0.00150289	0.0	0.000408655	0.0	0.0	0.000503586	0.00132975	0.0	0.00264708	0.000544383	0.000273026	0.0	0.0011054	0.000620283	0.000346892	0.0029521	0.00123676	0.00417384	0.0
FOLSYN-PWY: superpathway of tetrahydrofolate biosynthesis and salvage	0.000882604	0.00116445	0.000601943	0.000455802	0.00166109	0.0	0.0	0.0	0.0	0.00202481	0.00264254	0.0	0.000585699	0.0	0.000335356	0.000206333	0.0	0.0	0.000972259	0.000653533	0.0	0.000553378	0.0	0.0	0.0	0.00031362	0.0	0.00105216	0.000386696	0.0	0.0	0.0012092	0.0	0.0	0.0	0.0	0.0013649	0.0
FUC-RHAMCAT-PWY: superpathway of fucose and rhamnose degradation	0.0022205	0.00158054	0.00200011	0.00151598	0.00247126	0.000310523	0.000407796	0.0	0.0015194	0.00185861	0.0018402	0.000493562	0.00030657	0.0	0.00129677	0.000880364	0.000536606	0.000401649	0.000616051	0.0	0.000371212	0.00078431	0.0	0.000405036	0.000573093	0.00135532	0.000387213	0.00209664	0.000303868	0.0	0.0	0.00128106	0.000418514	0.0	0.00113528	0.000656071	0.00193128	0.0
FUCCAT-PWY: fucose degradation	0.00139729	0.00212582	0.00160538	0.000846464	0.00149537	0.000141969	0.00019111	0.0	0.00108154	0.00139435	0.00218768	0.000228677	0.000149149	0.0	0.00170635	0.000447404	0.000269254	0.000190405	0.00038398	0.0	0.000173881	0.000381325	0.0	0.000188736	0.000269921	0.000727692	0.000180556	0.00161098	0.0001413	0.0	0.0	0.000708756	0.000196525	0.0	0.000625393	0.000316242	0.00228121	0.0
GALACT-GLUCUROCAT-PWY: superpathway of hexuronide and hexuronate degradation	0.00124657	0.000697137	0.000852178	0.000973753	0.000702812	0.0	0.000661525	0.000451548	0.000271339	0.0017029	0.00100729	0.00037833	0.000143352	0.0	0.000387708	0.00145023	0.0	0.0	0.000252122	0.0	0.0	0.000590994	0.000242988	0.000277709	0.000980982	0.000357494	0.0	0.00121428	0.0	0.0	0.0	0.000986425	0.000258681	0.0	0.000268029	0.000593299	0.000755907	0.0
GALACTARDEG-PWY: D-galactarate degradation I	0.0012842	0.000894781	0.00172907	0.000965429	0.00152189	9.86465e-05	0.000239102	0.0	0.0	0.0011675	0.00360424	0.000555428	0.000499723	0.0	0.000850944	0.000968953	0.0	0.0	0.0	0.0	0.0	0.000171387	0.0	0.000245791	0.0	0.000288744	0.00029456	0.000991024	0.0	0.0	9.98099e-05	0.000787091	0.0	0.0	0.0	0.000201353	0.00230174	0.0
GALACTITOLCAT-PWY: galactitol degradation	0.00094489	0.000477006	0.000868165	0.0	0.000898017	0.0	0.000174275	0.0	0.0	0.000228668	0.00252954	0.0	0.000127301	0.0	0.000547664	0.000621982	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000140978	5.24358e-05	0.0	0.000129846	0.000262572	0.0	0.0	0.000650019	0.0	0.0	0.000101641	0.0	0.000143464	0.0
GALACTUROCAT-PWY: D-galacturonate degradation I	0.00129472	0.00074265	0.0010402	0.00120164	0.000489316	0.000175581	0.00115853	0.00101145	0.000516678	0.00194451	0.000973724	0.00182726	0.000192985	0.000457615	0.00034549	0.00147916	0.0	0.000432008	0.000426985	0.0	0.00068361	0.00132218	0.000302493	0.000705636	0.0011667	0.000341784	0.0	0.00165387	0.000963801	0.000499679	0.000345009	0.00114018	0.000228512	0.000669407	0.000668811	0.00132446	0.000776778	0.000356878
GLCMANNANAUT-PWY: superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation	0.00277175	0.00213871	0.00259204	0.00131503	0.00173812	0.0	0.00225106	0.00102091	0.00328264	0.00182775	0.00250017	0.00124516	0.000477647	0.000737683	0.000500559	0.000923604	0.000549481	0.000633411	0.000767425	0.000463446	0.000919974	0.00177645	0.00028729	0.00215832	0.00164038	0.000810843	0.00174985	0.00243841	0.00132216	0.00128389	0.000375491	0.00202407	0.000219837	0.00106773	0.0022889	0.00139927	0.00232588	0.000564868
GLUCARDEG-PWY: D-glucarate degradation I	0.00100223	0.000701604	0.00108491	0.000805399	0.00116003	5.71629e-05	0.000202447	0.0	0.0	0.000755895	0.00303686	0.0	0.000395346	0.0	0.00043109	0.000328693	0.0	0.0	0.0	0.0	0.0	8.9546e-05	0.0	0.0	0.0	0.000214978	0.000170137	0.000908224	0.0	0.0	0.0	0.000591555	0.0	0.0	0.0	0.0	0.00214758	0.0
GLUCARGALACTSUPER-PWY: superpathway of D-glucarate and D-galactarate degradation	0.0012842	0.000894781	0.00172907	0.000965429	0.00152189	9.86465e-05	0.000239102	0.0	0.0	0.0011675	0.00360424	0.000555428	0.000499723	0.0	0.000850944	0.000968953	0.0	0.0	0.0	0.0	0.0	0.000171387	0.0	0.000245791	0.0	0.000288744	0.00029456	0.000991024	0.0	0.0	9.98099e-05	0.000787091	0.0	0.0	0.0	0.000201353	0.00230174	0.0
GLUCONEO-PWY: gluconeogenesis I	0.00459739	0.00478321	0.00363997	0.0054694	0.00408372	0.00183845	0.00550643	0.00426915	0.00361901	0.00436775	0.00530073	0.00524897	0.00567571	0.00283792	0.00530622	0.00537857	0.0040018	0.00133655	0.00394411	0.00640241	0.00288219	0.00368791	0.00221761	0.00363574	0.00420298	0.00421797	0.00343936	0.00574413	0.0024544	0.00437705	0.00428918	0.00548791	0.00226104	0.00555679	0.00475249	0.00604815	0.00498611	0.0039242
GLUCOSE1PMETAB-PWY: glucose and glucose-1-phosphate degradation	0.0026911	0.00544841	0.00143645	0.00456265	0.00357688	0.0	0.0045789	0.0	0.0	0.00473273	0.00500358	0.0	0.00763186	0.0	0.00719664	0.00318158	0.0	0.0	0.0121333	0.0	0.0	0.0021501	0.0	0.0	0.0	0.0021106	0.0	0.0032963	0.0	0.0	0.0	0.00379621	0.0	0.0	0.0	0.0	0.0043509	0.0
GLUCUROCAT-PWY: superpathway of &beta;-D-glucuronosides degradation	0.00174174	0.000866004	0.000937798	0.00210287	0.000617625	0.000450905	0.00190282	0.0013721	0.000475488	0.00203754	0.00113706	0.00279817	0.000287694	0.000565828	0.000423547	0.00156459	0.000836292	0.00123569	0.000475913	0.0	0.00181273	0.00182767	0.000563722	0.00080008	0.00187776	0.00089248	0.00031181	0.00142122	0.00145247	0.000624627	0.00163516	0.0012125	0.000750106	0.000799158	0.00116193	0.00156625	0.000891834	0.000721834
GLUDEG-I-PWY: GABA shunt	0.00231067	0.000547931	0.0022641	0.00144862	0.00142962	0.0	0.000245398	0.0	0.0	0.000429204	0.000246234	0.0	0.000221563	0.0	0.000984636	0.000657906	0.0	0.0	0.0	0.00027561	0.0	0.0	0.000239413	0.0	0.0	0.000457931	0.0	0.00255518	0.000326963	0.0	0.0	0.000432544	0.0	0.0	0.000730093	0.0	0.00117421	0.000635094
GLUTORN-PWY: L-ornithine biosynthesis I	0.0034616	0.00728935	0.00267241	0.00392294	0.0022452	0.00117173	0.00564869	0.00255927	0.00528834	0.00668237	0.00439086	0.00203892	0.00262	0.00137221	0.00154549	0.00340812	0.00409991	0.00323743	0.00171799	0.00237974	0.00166566	0.00339956	0.00205789	0.0037329	0.00326559	0.00491144	0.00110331	0.00318418	0.00368034	0.00153289	0.00119694	0.00360085	0.0036006	0.0031946	0.00636388	0.00392913	0.0056954	0.00651274
GLYCOCAT-PWY: glycogen degradation I	0.00349651	0.00152971	0.000595764	0.00242791	0.000604995	0.00480853	0.00191781	0.00296002	0.00242045	0.000483422	0.00279543	0.000784155	0.000474565	0.000793682	0.000182763	0.00327221	0.00301658	0.000341078	0.0	0.000876498	0.00317008	0.000407553	0.000321142	0.0012264	0.00141848	0.00344889	0.00165849	0.00194753	0.00266826	0.000840888	0.00147159	0.000710945	0.00520764	0.00363521	0.00186256	0.00515667	0.00277591	0.000469905
GLYCOGENSYNTH-PWY: glycogen biosynthesis I (from ADP-D-Glucose)	0.00403892	0.0111826	0.00473113	0.00673225	0.00468087	0.00485439	0.0112453	0.00515801	0.00865838	0.00990274	0.00571322	0.00629325	0.003178	0.00593889	0.00587993	0.00440865	0.00622945	0.00682979	0.00461655	0.00399318	0.00365672	0.00597315	0.00374321	0.00879102	0.00532762	0.0102462	0.00221509	0.00428744	0.00926648	0.00418839	0.00768095	0.00500425	0.00912386	0.00317191	0.0120541	0.00709923	0.00773226	0.0115548
GLYCOL-GLYOXDEG-PWY: superpathway of glycol metabolism and degradation	0.000249268	0.000113124	0.000360145	0.000439787	0.000396993	0.0	4.84883e-05	0.0	0.0	0.000113231	0.000529674	0.0	0.000146197	0.0	0.0	0.000153213	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000108832	0.0	0.000690255	0.0	0.0	0.0	6.08658e-05	0.0	0.0	0.0	0.0	0.00025985	0.0
GLYCOLYSIS-E-D: superpathway of glycolysis and the Entner-Doudoroff pathway	0.00208544	0.00188662	0.00217686	0.00407128	0.00207116	0.000765821	0.00298385	0.00203548	0.00111795	0.00316395	0.00367497	0.00334698	0.00175537	0.0011403	0.00200618	0.00361162	0.00174158	0.000428766	0.000524281	0.00106204	0.00204007	0.00217327	0.0	0.00185117	0.000544446	0.00203053	0.00220531	0.00264987	0.00175689	0.00159631	0.00226034	0.00249825	0.000582649	0.00361819	0.00202984	0.00318219	0.00335398	0.00157139
GLYCOLYSIS-TCA-GLYOX-BYPASS: superpathway of glycolysis, pyruvate dehydrogenase, TCA, and glyoxylate bypass	0.000437713	9.24486e-05	0.000104672	0.00116721	0.000171994	0.0	0.0	0.0	0.0	8.68732e-05	0.000898012	0.0	0.0	0.0	0.000242261	0.00015016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00016679	0.0	0.0	0.0	0.000449167	0.0	0.0	0.0	0.0	0.00016341	0.0
GLYCOLYSIS: glycolysis I (from glucose 6-phosphate)	0.00578925	0.0054053	0.00503017	0.00569329	0.00402917	0.00746431	0.00484298	0.0054795	0.00334373	0.00542291	0.00568819	0.00467713	0.00393193	0.00172373	0.00652991	0.00531736	0.00262225	0.0012024	0.00246926	0.0048284	0.00622452	0.00304726	0.00206321	0.00328861	0.004127	0.0046244	0.00366455	0.00584023	0.00370198	0.00280724	0.00430267	0.00455205	0.00752924	0.00684046	0.00413011	0.00593088	0.00606244	0.00336408
GLYOXYLATE-BYPASS: glyoxylate cycle	0.00176429	0.000717884	0.00182489	0.00094643	0.00171631	0.0	0.000259056	0.0	0.0	0.00124292	0.00265255	0.0	0.000290184	0.0	0.00103758	0.000700205	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000398102	0.0	0.00163547	0.0	0.0	0.0	0.000685822	0.0	0.0	0.0	0.0	0.00241143	0.0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0.0	0.000757502	0.000109057	0.000378825	0.000582762	0.0	0.000174559	0.0	0.000614484	0.00129165	7.61694e-05	0.0	0.000250512	0.0	0.000216572	0.000209962	0.0	0.0	0.0	0.0	0.0	0.000105932	0.000214788	0.0	0.0	0.000256534	0.0	0.000146622	0.000221769	0.0	0.0	0.000270332	0.000133942	0.0	0.000486376	0.000425704	0.000122503	0.000319455
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0.000653955	0.000216633	0.000789382	9.0624e-05	0.000571989	0.0	0.0	0.0	0.0	0.000345952	0.00117459	0.0	0.0	0.0	0.000462521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.48246e-05	0.0	0.000378383	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00189633	0.0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0.000909345	0.000259498	0.00102984	0.0006089	0.00119423	0.0	0.0	0.0	0.0	0.00103539	0.00245283	0.0	0.0	0.0	0.000343556	0.000592241	0.0	0.0	0.000423566	0.00033244	0.0	0.0	0.0	0.0	0.0	0.000210669	0.0	0.000720089	0.0	0.0	0.0	0.000507077	0.0	0.0	0.0	0.0	0.00132116	0.0
